,reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound
16,Aaron Alvarez,5.0,got gb one filled up kept getting insufficient disk space phone kids take phone selfies mostly daughter i get bigger card gb one carry old phoneneedless say sweet plenty space dont delete pictures anymore well leastmy daughter loves selfies,2014-02-03,308,0,0,0,0,0.0,0.0
17,Aaron F. Virginie,5.0,class speed rating seamless full hd videothe sandisk ultra uhsi card features class uhs speed class u rating highest video performance available recording uninterrupted full hd videoflawless app performancethis card retrieve stored data almost instantly thanks mbs read capability fast bus interface the sandisk ultra microsdhc microsdxc uhsi cards offer faster app loading smoother fluid app performancestorage capacities up gbthis card plenty room accommodate full hd videos mps apps memoryintensive mobile files available sizes gb store apps music video wantandroid app easy file managementthe included sandisk memory zone app lets easily view access backup digital files phones memory additional memory card cloud service one convenient place using app easily move files card number cloud storage servicesdurable designsandisk ultra uhsi memory cards capture memories degrees fahrenheit shockproof waterproof xrayproof design your mobile device may survive sandisk memory card will,2013-04-07,610,0,1,1,-1,0.0,0.0
18,Aaron Graves,5.0,the read write speeds better samsung sd card i previously i would hesitate buy another one great micro sd cards sandisk i also clip plus mp player works well i think im becoming fan sandisk products,2014-02-05,306,0,0,0,0,0.0,0.0
19,Aaron,5.0,this works nl no video stuttering like gb blah blah blah blah fill rest,2014-07-01,160,0,0,0,0,0.0,0.0
20,Aaron,5.0,works expected high transfer speed nice extra microsd adapters lying around since i always seem misplace them mainly bought use nikon dslr since i put card directly cm modded nook hd tablet field view images larger screen,2013-10-27,407,0,0,0,0,0.0,0.0
21,Aaron,5.0,works great samsung galaxy s formatted straight away full size there i cant really tell speed difference one slower card replaced i guess io phone cant take advantage,2013-12-29,344,0,0,0,0,0.0,0.0
22,Aaron Madden,5.0,sandisk never disappoints as always sandisk products worth every penny nice product quality works great i recommend product everyone,2013-05-11,576,0,0,0,0,0.0,0.0
23,aaron mckaig,5.0,good price works flawless samsung s normal sandisk quality that i go brand brand,2014-04-04,248,0,0,0,0,0.0,0.0
24,Aaron Nash,5.0,san disk hard beat you pay brand get quality product would purchase again,2014-03-23,260,0,0,0,0,0.0,0.0
25,Aaron Smith,5.0,installed blackberry q sqn formatted works fine plenty storage space pictures videos son park,2014-01-28,314,0,0,0,0,0.0,0.0
26,Aaron T. Swain,5.0,i received card class gb correct serialsdsdquagaa i received unopened sandisk packaging i going use htc rezound i hope works from i read work reformatting disk i update review i issues using it not rating remain unchanged,2012-07-26,865,1,1,2,0,0.5,0.0945312057342307
27,A. Atkinson,5.0,stuck s formatted settings works great already filled music pics videos get card format right problems if phone right got samsung haha,2012-11-21,747,0,0,0,0,0.0,0.0
28,ABailey8833,5.0,i purchased two one samsung tablet one samsung galaxy note great hardware truly speedy responsive meets needs,2012-12-28,710,1,0,1,1,1.0,0.2065493143772374
29,abbadon,5.0,as advertised specs match as long device using handle ie usb crapple bs delivers advertised speed ps the speed read write knew that right,2013-10-25,409,0,0,0,0,0.0,0.0
30,ABC317,5.0,this item great i cant believe small is imagine gb size back s whole buildings full computers pack much space great item,2013-10-16,418,0,0,0,0,0.0,0.0
31,Abdul Purnell Askew SR,5.0,ive trying get hold gb micro sd phone tablet its pretty fast compared gb cards ive using i really saw performance boost phone i many apps pictures music documents on the phone boots fully stable mins apposed mins my computer also write cards much faster gb ones i using if phone tablet device support i recommend purchase these also pay like half price using amazon opposed retail stores whos price least double more ive seen cards going area,2013-04-15,602,0,0,0,0,0.0,0.0
32,"Abdulrahman J. Alrashed ""dr34m3r""",1.0,i bought sandisk gb microsd used galaxy note galaxy sfirst one phone started saying removed recognize diedi thought luck plugged nd one stayed months died suddenly lost everythingnever buying sandisk ever,2013-03-08,640,0,0,0,0,0.0,0.0
33,"Abel Feliciano ""Ace Master""",4.0,the memory card excellent condition work described dependable easy use an excellent choice enthusiast requires storage,2012-11-09,759,0,0,0,0,0.0,0.0
34,A. Bell,5.0,ive got couple varying sizes ive problems complaints speed i always end buying prices low get,2013-08-18,477,0,0,0,0,0.0,0.0
35,A. Berrios,5.0,i gigs memory note running room now i much memory space available i know it,2014-10-05,64,0,0,0,0,0.0,0.0
36,Abe The Babe,5.0,bought surface pro ive months ive problems very fast stable,2013-07-30,496,0,0,0,0,0.0,0.0
37,Abhi gautam,5.0,i would recommend card everyonedata transfer speeds excellent card galaxy s didnt need format card anything i satisfied,2012-07-10,881,1,0,1,1,1.0,0.2065493143772374
38,Abraham Arturo Meza Marin,1.0,i bougth micro sd card trubles got kingston tell sandisk quality best i phone read gb fast dta transfer speed pc amazing looking additional storage phone music pictures type files youprosvery good quality materials constructionamazing speedupdate one year memory damaged i delete put new files it i format memory i tried format phone pc camera nothing like gb cd data memory available read i move delete it i bought memory used backup data android device readable memory i write data more i hope sandisk make better products future total disagree i buy samsung memory card expected better quality,2013-02-19,657,0,0,0,0,0.0,0.0
39,Abraham,5.0,using contout gps camera waste time buying brand waste buy best start with,2013-12-08,365,0,0,0,0,0.0,0.0
40,"Abraham Kovler ""ripvanlink""",5.0,this fantastic little drive gigabytes says works ways i discern i use hold flac recordings i play excellent fiio x digital audio player this real thing one fakes that evidently there,2014-09-07,92,0,0,0,0,0.0,0.0
41,Abram Vargas,5.0,i happy micro sd i could tell difference response time bb curve well asus tablet if want something transfer files photos videos music faster micro sd card you now i say faster cards price this trick devices now professional photographer might want go ultra micro sd everyday user work wonders device,2012-08-13,847,0,0,0,0,0.0,0.0
42,A. Brattoli,5.0,ive purchased several little babies years i always buy sandisk ive never one fail price great amount storage get,2014-10-03,66,0,0,0,0,0.0,0.0
43,"Abused Commuter ""abused_commuter""",1.0,ordered galaxy s lasted months broke is accessible several different pcssays limited lifetime warranty bs you one month eco zone not i lose pictures i crappy return policyin future i buying kingston sandiskupdate amazon customer service made good refunded purchase price i still buying sandisk memory cards however,2013-07-20,506,0,1,1,-1,0.0,0.0
44,abushaheed,4.0,like mbs note thats using sandisks app a bit faster note ii still disappointment devices quad core processors not sure card device benefit doubt four stars,2013-06-01,555,0,0,0,0,0.0,0.0
45,"A. Bystricky ""Tony B.""",5.0,much say plug play good quality fits lot video good good good,2014-02-17,294,0,0,0,0,0.0,0.0
46,AC500Driver,5.0,a new camcorder required fast sd micro sandisk products always provided first class service extra cost well worth it,2014-03-04,279,0,0,0,0,0.0,0.0
47,"A. Carr ""game hater""",5.0,this tiny marvel claims the possible problem so small may lose happen drop handling but gb capacity handling often,2014-04-29,223,0,0,0,0,0.0,0.0
48,acballer,5.0,it job price right it came quickly im happy purchase i would recommend would again,2014-01-19,323,0,0,0,0,0.0,0.0
49,Ace of Sevens,2.0,i used months phone decided quit mounting i lost pictures pets died shortly after i got replacement card i send old one giving chance recovering contents the new ones worked fine failing months inexcusable,2014-01-31,311,0,0,0,0,0.0,0.0
50,ac,5.0,a memory card either works doesnt this always going one star five star review middle groundthe adapter nice bonus too though i think i anything use with,2013-07-21,505,0,0,0,0,0.0,0.0
51,AC,5.0,i purchased card use contourroam works great all i put card camera format it i good go it allows easily record hours pfps video without running space slowing down,2013-01-14,693,0,0,0,0,0.0,0.0
52,A. Chock,5.0,upgraded gb gb card galaxy note phone looks like works fine full capacity good product,2012-12-28,710,0,0,0,0,0.0,0.0
53,A. Cho,4.0,everything great except adapter it tight use tool take back adapter causing chip it fault guess also bought gb version adapter one fine,2013-10-07,427,0,0,0,0,0.0,0.0
54,a_compulsive_reader,5.0,liked first one i purchased much i bought second one very fast read write speeds good price plus sandisk best software device compatibility forget thumb drives flexible durable option use direct tablet smart phone andor buy decent usb card reader load and voila instant superspeedy upgradeable thumb drive works great tablet newer card reader still kicks butt every thumb drive i know even used old plastic usb card reader held together scotch tape lol have purchased several microsd cards since first came out gb gb still work fine i cannot say thumb drives i purchased time periodone point beware counterfeits samsung number one brand so unfortunately get counterfeited lot so check reviews buy reliable seller i suggest buying direct amazon or memory mogul i purchased issues,2013-11-23,380,0,0,0,0,0.0,0.0
55,acondie13,5.0,really cant say anything bad it does says super fast great storage size lots movies such,2014-03-16,267,0,0,0,0,0.0,0.0
56,ACZ,4.0,used phone plenty fast works like should unexpectedly comes mini full sd card size adapters nice foolproof packaging whatever was laughable packaging decent bragged impossible mess i messed up,2013-05-11,576,0,0,0,0,0.0,0.0
57,adam,5.0,this standard micro sd card would recommend anyone purchased dad using expand memory tablet shipped fast slight bit cheaper stores believe,2014-08-01,129,0,0,0,0,0.0,0.0
58,Adam J. Hanson,5.0,i ordered new samsung galaxy note ii works awesome installed it problems i loaded music it even scratch surface capacity card i ever worry running outta room card highly recommended smartphone user,2013-01-27,680,0,0,0,0,0.0,0.0
59,"Adam J. Lomprey ""lompreya""",5.0,great deal much faster file movementdefinitely worth purchase sandisk proved good products,2013-08-27,468,0,0,0,0,0.0,0.0
60,Adam M Barnes,5.0,youll pay anywhere else i initially leery buying another sd card amazon years ago i so card fake said gigs plugged computer could load onto it would say full apparently theres way fool computer thinking theres space is fakecounterfeit cards donot one its real deal genuine sandisk contains many gb says does im pleased customer,2014-12-02,6,0,0,0,0,0.0,0.0
61,Adam M.,5.0,use samsung galaxy s have almost year now problems really expands memory capabilities easy enough install,2014-07-13,148,0,0,0,0,0.0,0.0
62,adam smith,5.0,gb storage new asus tablet whats love i cant imagine paying model upgraded storage especially since usually like more this thing cheap works great,2013-11-26,377,0,0,0,0,0.0,0.0
63,"Adam Sorenson ""Adam""",5.0,excellent quality excellent speed complaints here easy use reliable red stripe front makes easy find crowded desk,2013-12-12,361,0,0,0,0,0.0,0.0
64,"Adam Wright ""Electrical Engineer""",3.0,this card advertises uhs actually uhsthis means go sdr speedsthroughputnot necessary bad false advertising,2013-09-09,455,1,0,1,1,1.0,0.2065493143772374
65,Adan Montiel,5.0,purchase hp tablet memory music download pictures video have enough room store memory left over,2014-08-02,128,0,0,0,0,0.0,0.0
66,Adanna,5.0,can anything wrong sandisk product items read sooooo quickly i quite happy,2014-03-01,282,0,0,0,0,0.0,0.0
67,adavey,5.0,a lot people want big memory fine but need look speed class this one class which great taking pictures video it freeze move mbs fast enough lesser speed cards freeze say waiting camera miss moment its also sandisk name trust come memory cards,2012-12-21,717,0,0,0,0,0.0,0.0
68,Adeel Azhari,5.0,fast transfer rates i downloaded gb videos form card laptop card reader minute,2013-07-07,519,0,0,0,0,0.0,0.0
69,adg44,5.0,there something said sandisk you plug works ive never one doa memory issues throughout years camera storage products i installed galaxy siii recognized right away i able dump music onto it speed seems great well complaints,2012-11-26,742,0,0,0,0,0.0,0.0
70,A discerning buyer,5.0,how i praise extra memory it fills mp player every song heart desires sound quality perfect the ease use superb its great,2013-08-20,475,0,1,1,-1,0.0,0.0
71,Adrian,5.0,all though states gig gig available i know happens expected it keep mind wanting storage might want order gig card it exactly expected needed complaints,2012-06-12,909,0,0,0,0,0.0,0.0
72,Adrian,5.0,job advertisedif need extra memory phonetablet whatever device bext buypricequality,2014-10-02,67,0,0,0,0,0.0,0.0
73,"Adrianne Ayres ""Sabrina""",5.0,needed cell phone works perfectly sandisk never disappointment plus years ive itcomputer work,2013-12-16,357,0,0,0,0,0.0,0.0
74,A E D III,5.0,priced right memory card also reads writes fast its noticeable difference cheaper cards i put phone plan buy another one tablet,2013-11-10,393,0,0,0,0,0.0,0.0
75,A. Felson,5.0,works great sprint htc evo g lte formatted w fat course maximum file size gb meaning full length hidef movies however problem i bought card putting music library phonelike class microsdhc cards not mbs closer class card ive ever tried most mbs kingston gb mbs this card mbscant wait till gb gb cards become available affordable,2012-10-15,784,1,1,2,0,0.5,0.0945312057342307
76,A.Fenderson,5.0,update my gb card stopped allowing writes via cardreaders windows pceither inside several fullsize sd card adapters with writeprotect tab either position plugged directly microsd slot reader microsd cards writeprotect tab i quite surprised worried this after failing find workable solution searching online i finally put chromebook created new folder there stuck back windows pc longer gave writeprotect error if anyone similar problem id recommend something similar putting pc laptop camera etc available try writing therethis portion review necessarily written update original review gb version card since amazon disallows multiple reviews consider item this portion concerns gb version cardi need fast card speeds card important besides test pc exactly highend therefore i count speed results i got below using usb card adapter i thought might relevant readers while card reach class andor uhsi requirements came claimed read speeds mbs fast file transfer then again running second pc using different usb card reader none speeds even hit mbs seems highly systemdependenti got card week far works select sdxccompatible devices exfatcompatible operating systems sdxccompatible devices panasonic hdctm allow cards larger gb for whatever reason stated manual ive confirmed card recognized brokencorruptunusable device whereas gb exfat cards work fine the gb works fine with original exfat formatting toshiba excite android tablet predictably nonsdxccompatible galaxy note though possibly would reformatted fat since gb card fat works fine thereill update review reflect problems issues etc i notice coming days weekscrystaldiskmark c hiyohiyocrystal dew world url removed per amazon rules mbs bytes sata bytessequential read mbssequential write mbsrandom read kb mbsrandom write kb mbsrandom read kb qd mbs iopsrandom write kb qd mbs iopsrandom read kb qd mbs iopsrandom write kb qd mbs iopstest mb g gb xdate os windows xp professional sp build xthe following original review gb version card published april this highquality card ive used variety devices multiple readers different pcs hd camcorder using micro fullsized sd adapter ive never problem it it even works full capacity some microsdhconly devices reformatted fat such sandisk clip flac player supposedly even psps via proper adapter though i yet tested psp i keep anticipating someone coming card equal better capacity speeds comparable price i seen one yet if cheaper id several nowmake sure device handle micro fullsized sdxc cards one rare gems state support high sdhc tested work sdxc cards one theyve manually reformatted fat,2013-04-24,593,3,0,3,3,1.0,0.4385029682449545
77,AF,5.0,works great phone wife loves it got second mom storing lots pictures videos,2014-06-22,169,0,0,0,0,0.0,0.0
78,A. Flores,5.0,i loaded card home movies samsung galaxy tab the copy process computer card fast there skips movie quality i plenty room left go wish i bought another collections,2013-01-25,682,0,0,0,0,0.0,0.0
79,A. Garcia,5.0,bought s loaded seasons futurama full length hd movies several documentaries dozen minute comedy shows plenty room left pictures etconly slight nitpick booting recovery mode s recognize card wanted update phone latest version android would see it had resort gb microsd i laying around that sd card issue i thought i would throw in,2013-07-29,497,0,0,0,0,0.0,0.0
80,Agean2010,5.0,i purchased wife i bought samsung galaxy s store music pictures videos the s camera capable capturing megapixels photos gb microsd i suffice as matter fact ive already exhausted remaining space card gb allow take photos of son,2014-07-01,160,0,0,0,0,0.0,0.0
81,Aggies82,5.0,great storage failed yet year usage,2014-06-30,161,0,0,0,0,0.0,0.0
82,"A. Ghayyath ""AAG""",5.0,since wife using causing problems must functioning normally looks good far,2013-06-02,554,0,0,0,0,0.0,0.0
83,A.G.,5.0,class speeds way fly gb usable space i think i good while,2014-06-04,187,0,0,0,0,0.0,0.0
84,"A. Gill ""Measure Twice, Cut Once""",5.0,the subject says all does supposed great price when sale buy it,2012-11-27,741,0,0,0,0,0.0,0.0
85,A. GONZALEZ MEDINA,5.0,lot questions memory card fitting samsung galaxy tab tablet it fits works problem all the thing installing instead showing gb available shows gbtried formatting card resultshave idea limit set galaxy tab tablet normal buy gb get less thatas surely problem coming sandisk memory card rating star excellent price works great quick delivery,2014-02-17,294,0,0,0,0,0.0,0.0
86,Agustin,5.0,when comes kind flash storage sandisk always go brand sell quality items stand theres problem so usual complaints here works descried i issues both read write speeds right specs say be,2014-03-26,257,0,0,0,0,0.0,0.0
87,Agustin Mangialavori,5.0,high speed high capacity storage great durability i use phone digital camera work good,2013-11-06,397,0,0,0,0,0.0,0.0
88,A. Gutierrez,5.0,this memory helps keep i want keep cell phoneit good brand right price,2014-04-21,231,0,0,0,0,0.0,0.0
89,A. Hejazi,4.0,i bought sd card android phone thinking class faster reliable others turns out difference class really matter least android phones really worth price difference,2013-12-12,361,0,0,0,0,0.0,0.0
90,A.,5.0,the sandisk gb micro sd class reliable sd card amazing transfer speeds there noticeable lag transfering even largest raw images it hadnt problem it,2013-04-13,604,0,0,0,0,0.0,0.0
91,ahhsimon,4.0,good card work describes issue going pass metal detectors lost files missing files,2014-06-02,189,0,0,0,0,0.0,0.0
92,Aileen Nguyen,5.0,bought store music phone works flawlessly three months far problemsin card reader i average megabytes read write it,2014-03-26,257,0,0,0,0,0.0,0.0
93,Airedad,5.0,im amazed i ordered amazon tuesday morning arrived wednesdays mail very impressive service amazonas already reported card formats gb performs perfectly samsung galaxy s iii which also new using two card readers fast pc i transferred everything old gb card new gb card less time took walk kitchen get cup coffee so i think class rating correct cardonce i experience card phone ill benchmark card ill also benchmark operations internally backing android phone card then ill update review accurate numerical data but mean time first look person said s problems anything faster class may correct full backup phone card significantly faster backup old gb class card again benchmarks yet i ill include hereright im happy card im really impressed card unbelievably quick service amazon and im atlanta shipments like one often take full days arrive,2012-07-25,866,15,6,21,9,0.7142857142857143,0.5004361928391441
94,ajb03,5.0,excellent one best cant go wrong card class necessary shows noticeable significant improvements class,2013-12-23,350,0,0,0,0,0.0,0.0
95,ajb,5.0,i bought gb microsd card best buy i needed one microsoft surface pro it provides space i need people need lot space videos quick books picture editing games etc card one you if need much space consider buying one cheaper little less memorynote be aware microsdxc format card while new computers support format many older computers this includes tablets smartphones before buying this make sure computer tablet smartphone compatible if not work period for others claim card work matter try chances machine cannot support microsdxc format,2013-03-25,623,4,0,4,4,1.0,0.5101091635454027
96,A.J. Matheson,4.0,i got i pass deal it incredibly fast htc sensation g pictures taken saved instantaneously only days happy shipping fast packaging easy open always great book only issue i i format computer first phone able recognize it,2012-11-26,742,0,0,0,0,0.0,0.0
97,A.J.O. From California,5.0,you get lot storage small price micro sd adapter class fast i happy purchase you too i hope review helpful,2014-05-24,198,0,0,0,0,0.0,0.0
98,A. J. Stavsky,5.0,the ultra micro sdhc fine i got working neither packaging sansa clip player inform user player needs totally microcard inserted if not unit read card otherwise love storage even gb let alone tremendous,2013-11-25,378,0,0,0,0,0.0,0.0
99,"AJZ ""~AZ""",5.0,i upgraded price dropped i originally gig sandisk card mytouch g i found toward mytouch gs end life space running low so i got galaxy s i bought card it works flawlessly i highly recommend it now errors ever super fast transfer rate,2013-03-14,634,0,0,0,0,0.0,0.0
100,ak2012,5.0,this item priced right fit right cell phone without issues does suppose i know else i could say being class suppose plenty fast cell phone use i sure speeds camera use degree has worked well shipping fast,2013-04-26,591,0,0,0,0,0.0,0.0
101,AK529,4.0,i got memory card samsung galaxy s i running room sandisk gb class micro sd card i also wanted faster durable card i hopping put lots media it in addition nandroid backups custom roms i later found since card formatted exfat would work make nandroid backups flash custom roms most custom recovery custom roms dont work exfat so choice format card fat meant i put files larger gb it besides card great reasonable price if one root phone put custom roms nandroid backups put files larger gb affect you this memory card fast provides storage put mobile device time the card also water proof shock proof comes lifetime warranty ive never issues sandisk memory cards usb flash drives they last really long time,2013-04-02,615,1,0,1,1,1.0,0.2065493143772374
102,A. Kaplan,5.0,using included adaptor macbook pro transfer files i impressed speed card,2014-07-01,160,0,0,0,0,0.0,0.0
103,"A. Kenneth Webster ""Ken Webster""",5.0,got store movies music samsung note iiinot much say memory card except works expected,2014-05-03,219,0,0,0,0,0.0,0.0
104,A. Kim,5.0,i purchased version expand memory gb android tablet nothing fancy job no problems played back flawlessly files i transferredthere many different microsd cards see sale might want consider instead cheaper noname brand,2014-02-01,310,0,0,0,0,0.0,0.0
105,A. Kinney,5.0,ive ordered sd cards one best overall shipping excellent fast reliable i would recommend anyone looking quality product thanks again,2014-07-01,160,0,0,0,0,0.0,0.0
106,akisadr,5.0,i use phone works totally worth money great place store pictures music phones instead using phone memory still run fast,2013-07-10,516,0,0,0,0,0.0,0.0
107,Alaa S. AL Sinan,4.0,i bought two one asus infinity one samsung galaxy s international version it worked fine asus work phone i formatted card using phonethe tablet laptop work i tests apps using apps nothing showed working way i got work formatting canon slr camera,2013-10-01,433,0,0,0,0,0.0,0.0
108,Alan,2.0,it works actual rw speeds mbs even class it marketed sandisk basic sandisk ultra unless mean ultra slow now excuse slow card sandisk update i redone test notepro instead using non uhsi pc latest results mbs since read speed hits i believe device dhsi ready still underwhelmed write speed though,2014-03-25,258,0,0,0,0,0.0,0.0
109,Alan,4.0,sandisk ultra gb microsdhc cuhs memory card adaptersandisk ultra gb microsdhc cuhs memory card adapterworks fine,2014-01-31,311,0,0,0,0,0.0,0.0
110,Alan Smithee,5.0,great adding ton storage smartphone device fast enough needs price right,2013-12-04,369,0,0,0,0,0.0,0.0
111,"Albert C. Marth ""Albert c. Marth""",5.0,you cant possibly go wrong san disc product although i purchased son i used san disc past never disappointed,2014-01-19,323,0,0,0,0,0.0,0.0
112,Albert,3.0,does job fairly cheap worth i return first one exchange another first one defective sandisk really needs better quality assurance products the second one works perfectly fine i use gopro camera,2014-04-05,247,0,0,0,0,0.0,0.0
113,Albert,4.0,i bought sons tablet cartoon videos movies all games downloading hes yrs theyll small simple games,2013-12-04,369,0,0,0,0,0.0,0.0
114,"Albert Macias Jr. ""Baretoes""",5.0,i bought friend mine put videos it initially plugged computer find storage directory however finding micro sd usb adapterbingo worked like charm that install videos plugged card phone racesnot sure needed adapter get computer recognize it we also used linux os go figure,2013-08-18,477,0,0,0,0,0.0,0.0
115,"Alberto Figueroa ""U.S. Air Force""",5.0,the sandisk ultra gb micro card great addition maximize samsung galaxy iiis whatever version got gb gb is fast memory great price plenty space pictures videos android applications good videos galaxy iiis use super fast if got advanced smartphone market i do memory get right price,2012-12-10,728,1,0,1,1,1.0,0.2065493143772374
116,Alberto,5.0,i installed samsung tablet tab there definitely performance difference tablet especially load apps,2014-03-02,281,0,0,0,0,0.0,0.0
117,"Alberto Joao Briguet Nt ""A. Briguet""",5.0,this memory works samsung smartphones it fast memorysandisk reliable memories market,2014-01-13,329,0,0,0,0,0.0,0.0
118,ALBERTO MENDOZA ALVAREZ,5.0,love it good quality good performance great brand could find better product money using samsung galaxy s mini zero complications,2014-10-01,68,0,0,0,0,0.0,0.0
119,Al Campbell,5.0,this product arrived two days prime exactly i ordered works great galaxy s i know class exactly needed cell phone cannot hurt right im happy purchase,2013-02-27,649,0,0,0,0,0.0,0.0
120,Ale-B,5.0,i expanded samsung tab tablet gb gb works fast see lags i store ten movies tab play right flash disc problemsvery happy card,2013-10-30,404,0,0,0,0,0.0,0.0
121,A. Lee,5.0,update providing update regard sandisk supporti bought memory card aug see original review below in may cruise alaska card went bad during sailing san francisco fine i used take panorama shot golden gate bridge for cruise i using dslr next time i wanted use cell phone phone told i memory card loaded any way tested card laptop i got back recognize it i contacted sandisk via email provide copy receipt amazon along serial number back card very hard read problems told send back card sent brand new card still functioning cell phone great support provide sandisk no hassle long provide proof purchase easy since amazon keeps entire purchase historyinvoices online one reason i buy directly amazon vs vendors either amazon elsewhere internet i confidence memory cards sold amazon genuine may incredible deals elsewhere internet cases deals good true counterfeit cards soldoriginal reviewjust received today removed packaging inserted samsung galaxy s verizon powered unit back storage available no formatting required worked first time out settings showed gb total space gb version gb free space i like fact sd adapter came it should i ever need insert card laptop come handy yes i plug phone directly laptop i ever swap gb card phone replace gb version i use gb version via adapter purposes,2012-05-09,943,5,0,5,5,1.0,0.5655175352168252
122,Alejandro Hernndez,3.0,still feel fast phone i guess i need remove run rw tests still its ok,2014-03-02,281,0,0,0,0,0.0,0.0
123,Aleksandar Milivojevic,2.0,i bought gb version card use gopro hero black edition it work out the card worked ok camera set resolution lower bit rates eg worked fine p protune on p protune off however p protune bitrate shy mbs mode much higher protune turned off nothing trouble camera would sometime work sometime randomly stop recording obvious reason i first suspected camera testing different sd cards ended sandisks card fault my spare card old cheap gb pny also class worked fine conditions camera settingsonce obvious problem card i found people gopros forums trouble specific card well well always find figure yourself right anyhow i speed tests card simple write gb file full zeros using unix dd utility copy gb zeros devzero where else would find many zeros onto file card the result average sandisks card would manage mbs just barely bar class card however average gb during write test speed oscillating many spikes drops drops low mbs uh i thought write speed class card never dip mbs for comparison old cheap class pny card chugging along constant mbs test no spikes drops speedthe card probably work fine devices bitrates recording p video often low enough andor camera might huge buffer but want use record video high bitrates device huge buffer compensate speed bumps card may run trouble be wary using hero modes higher bit rates eg p protune enabledsandisks website lists part numbers sdsdquig adapter sdsdquag without adapter this conflicts product description amazon while likely amazon getting product description right a bit common thing interesting noteupdate apr some numbers testing card the test extremely simple write gb zeros onto card using standard unix dd command read kb blocks zeroes special device devzero write onto card kb gb dd displays transfer stats finishes while dd running i run iostat second terminal displaying second interval stats measure current speed this done mac dd command line used asis repeat test linux system however iostat command different linux would need modified slightly i choose kb block size seems device drivers merges sequential writes anyhow using different block sizes results comparable dd ifdevzero oftest bs count records in records out bytes transferred secs bytessecso mbs good right wrong iostat running parallel dd command recorded this iostat d w diskdiskkbt tps mbs dd finishes writing gb zeros card imo last column never dip mbs card labeled classfor comparison test run samsung pro gb microsd card dd ifdevzero oftest bs count records in records out bytes transferred secs bytessec iostat d w diskdiskkbt tps mbs dd finishes writing gb zeros card so samsung average x faster importantly speed much constant and critically important never dips mbs,2013-03-04,644,1,0,1,1,1.0,0.2065493143772374
124,alexander,5.0,what else say sandisk ultra gb micro sd xc perfect sandisk cards,2014-06-21,170,0,0,0,0,0.0,0.0
126,Alex & Autumn,5.0,my husband i bought gopro used record vacation mexico we still half space left,2014-05-13,209,0,0,0,0,0.0,0.0
